sickle_address,user_wallet
0xe3b8b0f6716e10b4b13c54ff8aae08a0b02a0ea8,0xe3b8b0f6716e10b4b13c54ff8aae08a0b02a0ea8
0x6195c5c79e8a4fc929722837eded45dc8576e308,0x6195c5c79e8a4fc929722837eded45dc8576e308
0xbfca3ceab5a70c871d57217b5923fbccb95bbb33,0xbfca3ceab5a70c871d57217b5923fbccb95bbb33
0x1dad230f8f156ea39263f89adbc49e8f02297afe,0x1dad230f8f156ea39263f89adbc49e8f02297afe
0x5c9316a69664b9aabcd998d9c4aa793e05a26e37,0x5c9316a69664b9aabcd998d9c4aa793e05a26e37
0xc80e82d427110227bb2caa9ea880c244cb0aa97d,0xc80e82d427110227bb2caa9ea880c244cb0aa97d
0x8cf3358e4464acbc87ae804d7a43ad9986c76dc1,0x8cf3358e4464acbc87ae804d7a43ad9986c76dc1
0xc655b790ff812109c8f6c3f24fd20b3495164a51,0xc655b790ff812109c8f6c3f24fd20b3495164a51
0x47d0d279ffefac13f2f568d2fb60919326635575,0x47d0d279ffefac13f2f568d2fb60919326635575
0x586fc35073c652bdac7d8ec5f04d416dde81f4f5,0x586fc35073c652bdac7d8ec5f04d416dde81f4f5
0xd440c8d121ca5670fb9958158769194c5c209e70,0xd440c8d121ca5670fb9958158769194c5c209e70
0x0c412299db0faaae28445551e04bb2be3259d505,0x0c412299db0faaae28445551e04bb2be3259d505
0xf74f2020ac3d73f2bf5ee0f8bf635475ea881319,0xf74f2020ac3d73f2bf5ee0f8bf635475ea881319
0x613724bdf7acb3f061c512f4e89537729188ccb9,0x613724bdf7acb3f061c512f4e89537729188ccb9
0x661d1534214ca4bba95d6273c4f2c69d8f083926,0x661d1534214ca4bba95d6273c4f2c69d8f083926
0x98cb539e742b8e1371e501bc7730e9b2635e38c5,0x98cb539e742b8e1371e501bc7730e9b2635e38c5
0xffd271f22a1f38653f8469b877abc2f1665c180b,0xffd271f22a1f38653f8469b877abc2f1665c180b
0x44b787adda6f53c962555d0e7cd6f0c1b51552f7,0x44b787adda6f53c962555d0e7cd6f0c1b51552f7
0x8a5e249ba28c6f6492778c8850ce25edd4a2862d,0x8a5e249ba28c6f6492778c8850ce25edd4a2862d
0x8ef399ca27f3f7bd9bacd96b37dbb2dc890a0d50,0x8ef399ca27f3f7bd9bacd96b37dbb2dc890a0d50
0x1c76cbdc5821c85cbc5d6f53d325a0a5ba51ae43,0x1c76cbdc5821c85cbc5d6f53d325a0a5ba51ae43
0x26ba0ebf96b92891a4504b64136335399a75a10b,0x26ba0ebf96b92891a4504b64136335399a75a10b
0x252bb382d4118952fe3b0102106d25df8d28286a,0x252bb382d4118952fe3b0102106d25df8d28286a
0xd1b6a7f92f2974e4adc8046489644ea9f5a1e1b3,0xd1b6a7f92f2974e4adc8046489644ea9f5a1e1b3
0x9d6d0b5fe0c8b7a25c9f4a12d4eacd8f6ca02a0a,0x9d6d0b5fe0c8b7a25c9f4a12d4eacd8f6ca02a0a
0x2086a811182f83a023c4da3dd9d2e5539b2d43c9,0x2086a811182f83a023c4da3dd9d2e5539b2d43c9
